Time,Subtitle,Human Translation
2s,THIS JOB IS EATING ME ALIVE.,이 일은 나를 좀먹는다
4s,I CAN'T BREATHE ANYMORE.,더는 숨을 쉴 수가 없어
6s,"I SPENT ALL THESE YEARS TRYING TO BE THE GOOD GUY,","좋은 사람이 되기 위해
평생 노력했지"
9s,THE MAN IN THE WHITE HAT.,영웅이 되기 위해 말이야
11s,I'M NOT BECOMING LIKE THEM.,이젠 그러고 싶지 않아
14s,I AM THEM.,벌써 영웅이니까
16s,"HEY! WHAT ARE YOU DOING, WEIRDO?","벌써 영웅이니까 야! 뭐해, 미친놈아?"
19s,I'M DOING THE BEST SPEECH FROM DONNIE BRASCO.,"혼자 ‘도니 브래스코’ 명장면
연기하고 있지"
21s,"OR ACTUALLY, TEN OF ME ARE DOING THE BEST SPEECH FROM DONNIE BRASCO.","10개의 내 분신들이
연기하고 있어"
25s,WHAT'S UP?,안녕?
27s,"GET IT TOGETHER, MAN. OKAY?","정신 좀 차려라, 응?"
29s,SO THE STORE WAS HIT ABOUT TWO HOURS AGO.,가게가 2시간 전에 털렸고
31s,"THEY TOOK MOSTLY TABLETS, LAPTOPS, AND CAMERAS.","대부분 태블릿, 노트북
카메라를 가져갔네요"
36s,[music stops] SORRY.,미안
38s,"I'D LIKE A LIST OF ALL YOUR EMPLOYEES, WHOEVER HAD ACCESS TO THE STORE.","출입 가능한
모든 직원 명단이 필요해요"
43s,I'D ALSO LIKE TO APOLOGIZE FOR MY PARTNER.,"그리고 제 파트너
사과드려요"
45s,HIS PARENTS DIDN'T GIVE HIM ENOUGH ATTENTION.,가정교육이 부족했거든요
47s,"UH, DETECTIVE... I ALREADY SOLVED THE CASE.","거기 형사
벌써 사건 해결했어"
49s,"WE'RE LOOKING FOR THREE WHITE MALES, ONE OF WHOM HAS SLEEVE TATS ON BOTH ARMS.","백인 남자 셋에, 하나는
양팔에 문신 토시를 끼었네"
53s,AND HOW DO YOU KNOW THAT?,어떻게 알아?
54s,I HAD AN INFORMANT ON THE INSIDE.,내부 정보원을 심었지
56s,HE'S BEEN HERE FOR YEARS.,여기서만 몇 년을
58s,"WATCHING, LEARNING. WAITING.","관찰하고, 배우고, 기다렸어"
1:01,HIS CODE NAME?,암호명이 뭐냐면
1:03,FUZZY CUDDLE BEAR.,털보 곰 인형
1:05,HE'S A NANNY CAM.,몰래카메라지
1:07,[scoffs] YOU GOT LUCKY.,운도 좋아
1:09,"NO, I GOT HERE FIVE MINUTES BEFORE YOU","너보다 여기
5분 일찍 왔는데"
1:11,"AND FIGURED THAT IN THIS GIGANTIC ELECTRONICS STORE, THERE HAD TO BE AT LEAST ONE WORKING CAMERA.","분명히 돌고 있는
카메라가 있을 거 같았거든"
1:14,"OH! HI, BAD GUYS!","안녕, 나쁜 자식들아"
1:17,"YOU DID IT, FUZZY. YOU BUSTED 'EM.","잘했어, 털보
네가 잡은 거야"
1:19,IT'S TIME TO COME HOME.,이제 집에 가자
1:21,[as Fuzzy] I'M NOT SURE IF I CAN.,잘 모르겠어요
1:23,"I'VE BEEN UNDERCOVER SO LONG, I'VE FORGOTTEN WHO I AM.","잠복을 너무 오래 했더니
내가 누군지 까먹었어요"
1:26,I HAVE SEEN TERRIBLE THINGS.,끔찍한 일도 많이 봤고
1:28,I HAVEN'T KNOWN THE TOUCH OF A WOMAN IN MANY MOONS.,"여자 손길도
모르고 산 지 오래됐어요"
1:30,ALL RIGHT.,그만하지
1:32,DETECTIVE SANTIAGO!,산티아고 형사님
1:34,DON'T WALK AWAY FROM ME!,떠나지 마세요
1:47,"(Jake) YES, I DID CRACK THE CASE.","“99 관할 경찰서 아침 브리핑
오전 8시 31분” 내가 사건 해결했으니까
산티아고가 해줄래?"
1:50,"SO, SANTIAGO, WOULD YOU DO THE HONORS?","내가 사건 해결했으니까
산티아고가 해줄래?"
1:53,(all) OHHH!,"“페랄타 23, 산티아고 22”"
1:57,I HATE THIS!,"“페랄타 23, 산티아고 22” - 하기 싫어
- 그렇지"
1:58,"(Jake) AH, YEAH.","- 하기 싫어
- 그렇지"
2:00,I HATE THIS. AND YOU'RE JUST GONNA ADD ONE.,"- 하기 싫다고
- 1점 추가"
2:02,I'M WINNING.,내가 이기고 있네
2:05,IT'S A GOOD FEELING. IT'S A GOOD FEELING. YEAH.,기분 좋아
2:08,ENJOY IT WHILE IT LASTS. I WILL!,"- 즐길 수 있을 때 즐기셔
- 그래야지"
2:11,"JP, UPDATE ON THE MORGENTHAU MURDER?","제이크
모건도 살인 사건 소식은?"
2:13,YEAH! GOOD NEWS FOR ALL YOU MURDER FANS.,"살인 사건 팬 여러분께
희소식입니다"
2:16,[laughter] EARLIER THIS MORNING...,오늘 아침 일찍
2:18,SOMEONE DECIDED TO SHOOT AND KILL LUXURY FOOD IMPORTER HENRY MORGENTHAU.,"고급 식자재 수입상 헨리 모건도가
총에 맞아 죽었습니다"
2:23,"BODY WAS FOUND BY THE CLEANING LADY,","청소부 아주머니가
시신을 발견했고요"
2:25,"DURING HER INTERVIEW, I DEDUCED, USING EXPERT DETECTIVE WORK,","심문 중에
전문 수사 능력을 발휘해서"
2:27,THAT SHE HAD SOMETHING SUPER GROSS ON HER CHIN.,"턱에서 징그러운 뭔가를
발견했습니다"
2:32,I THINK IT WAS FLAN.,파이 조각 같아
2:33,CHARLES THINKS IT WAS FLAN. I THINK IT WAS BUTTERSCOTCH PUDDING.,"찰스는 파이 조각이라 했지만
저는 푸딩 같아요"
2:36,MAYBE IT WAS JUST OLD PERSON GUNK.,늙은 사람들 점액이야
2:38,YOU KNOW HOW OLD PEOPLE ALWAYS HAVE THAT GUNK ON THEM.,노인들은 다 저런 게 있어
2:39,"OLDIE GUNK. COULD BE, YEAH.","노인 점액일 수 있겠네
다른 의견?"
2:40,ANYONE ELSE? HOW ABOUT WE FOCUS ON THE MURDER,"그런 거 말고
살인 사건에 집중 좀 하지?"
2:43,AND NOT THE OLD PERSON GUNK?,"그런 거 말고
살인 사건에 집중 좀 하지? 감식반이 작업 끝나면
현장에 돌아갈 겁니다"
2:45,CRIME TECHS ARE AT THE SCENE NOW.,"감식반이 작업 끝나면
현장에 돌아갈 겁니다"
2:46,"WE'RE HEADING BACK WHEN THEY'RE DONE. OKAY, I WANT YOU ON THIS. IT'S GONNA BE PRIORITY ONE FOR THE NEW C.O.","사건에 신경 좀 쓰자고
새 서장님 우선순위라고"
2:51,"WAIT, TELL US ABOUT THE NEW CAPTAIN.","새 서장님에 관해
얘기해 줘요"
2:52,CAPTAIN HOLT WILL BE HERE SOON. HE'LL WANNA INTRODUCE HIMSELF.,"홀트 서장님이 잠시 후 도착해서
직접 하실 거야"
2:55,DISMISSED.,해산 “행정 요원”
3:00,"HEY, GINA. YOU KNOW ANY SCALPERS?","지나, 아는 암표상 혹시 있어?"
3:03,"I WANNA ASK ROSA TO GO TO THE RIHANNA CONCERT WITH ME, BUT IT'S SOLD OUT.","로사와 리한나 공연
같이 가려는데 매진이네"
3:06,"OKAY, TWO POINTS TO MAKE HERE.","좋아
두 가지만 지적하지"
3:08,"FIRST, RIHANNA... YOU... AND THEN RIHANNA.","첫째로 리한나는 너한테...
리한나라니"
3:13,YEAH. WHAT'S YOUR SECOND POINT?,두 번째는 뭐야?
3:15,SHE'S GOT A TYPE. WHICH IS REALLY ANYONE BUT YOU.,"로사도 눈이 있지
일단 넌 제외야"
3:19,"YEAH, THAT WAS MY EX-WIFE'S TYPE TOO.","이혼한 마누라도
그러긴 했어"
3:21,"LOOK, A RIHANNA CONCERT'S A PRETTY BIG SWING, MAN.","리한나 공연 가는 건
너무 큰 무리수야"
3:25,I DON'T KNOW. SHE'S INTO WATCHING OLD MOVIES.,"- 글쎄, 고전 영화 많이 보더라고
- 좋아"
3:28,COOL. WHERE WOULD I FIND A PLACE THAT SHOWS OLD MOVIES?,"그런 영화 상영하는 극장
어디 가면 알 수 있을까?"
3:31,"OH, YEAH, JUST GO ON THE INTERNET","그냥 인터넷 가서
검색창에다"
3:33,"AND SEARCH FOR THE PHRASE ""I WANT TO BUY TWO MOVIE TICKETS","그냥 인터넷 가서
검색창에다 ‘나를 싫어하는 여자랑 갈
영화표 2장 구해요’라고 쳐"
3:37,"FOR A GIRL WHO DOESN'T LIKE ME.""","‘나를 싫어하는 여자랑 갈
영화표 2장 구해요’라고 쳐"
3:39,GREAT. THANK YOU. GOOD.,"- 좋아, 고마워
- 그렇지"
3:41,"HEY, YOU HEARD ANYTHING ABOUT THE NEW CAPTAIN?","새 서장 얘기
들은 거 있어? 신경 안 써"
3:45,"UH, NO, AND I DON'T CARE.",신경 안 써
3:47,"I JUST WISH CAPTAIN MCGINTLEY NEVER LEFT, HE WAS THE BEST.","맥긴틀리 서장님 왜 간 거야?
최고였는데"
3:49,HE WAS TERRIBLE.,최악이었지
3:51,YOU JUST LIKED HIM 'CAUSE HE LET YOU DO ANYTHING YOU WANTED.,"좋아한 이유가
그냥 놔둬서 그런 거잖아"
3:53,"ON YOUR MARKS, GET SET... GO.","- 차려, 준비
- 출발"
3:58,WHAT THE HELL'S GOING ON AROUND HERE?,여기서 뭔 짓거리야?
3:59,FIRE EXTINGUISHER ROLLER CHAIR DERBY?,"소화기 쏴서
의자 달리기 경주?"
4:02,OKAY.,알았어
4:04,AND GO!,출발
4:11,WHAT'S YOUR POINT?,요점이 뭔데?
4:13,"IF I'M EVER GONNA MAKE CAPTAIN, I NEED A GOOD MENTOR. I NEED MY RABBI.","새 서장님이
좋은 랍비 스승이면 좋겠어"
4:16,"SORRY, DUDE...","미안, 친구 새로 오는 서장도
생각 없는 서생일 거야"
4:18,BUT THIS NEW GUY'S GONNA BE ANOTHER WASHED-UP PENCIL PUSHER,"새로 오는 서장도
생각 없는 서생일 거야"
4:20,WHO'S ONLY CONCERNED WITH... [robotically] FOLLOWING EVERY RULE IN THE PATROL GUIDE.,"순찰 안내서 규칙이나
신경 쓰는 인간일 거다"
4:24,MEEP MORP ZEEP. ROBOT CAPTAIN ENGAGE.,로봇 서장 작동
4:28,IS THAT WHAT YOU THINK? HE-HEY!,"- 그렇게 생각하나?
- 안녕하세요"
4:30,NEW CAPTAIN ALERT. [laughs],새 서장님 경보 발령
4:32,YOU MUST BE THE NEW C.O.,새 서장님 맞으시죠?
4:34,I'M DETECTIVE JAKE PERALTA. GREAT TO MEET YOU.,"제이크 페랄타 형사입니다
만나서 반갑습니다"
4:36,NOW DON'T LET ME INTERRUPT. YOU WERE DESCRIBING WHAT KIND OF PERSON I'M GONNA BE.,"방해하지 않을 테니
내 흉내 내고 있었던 거"
4:39,I'D LIKE YOU TO FINISH.,마저 해 봐
4:41,THAT'S NOT NECESSARY.,안 그래도 되는데요
4:44,"OR I COULD RECAP VERY QUICKLY, SURE.","아니면 간단하게
재방송할게요"
4:47,"UM, LET'S SEE.",자
4:49,I THINK I SAID SOME JOKE ABOUT BEING A WASHED-UP PENCIL PUSHER.,"생각 없는 서생이라고
농담했고요"
4:53,NOW DO THE ROBOT VOICE. WHICH--,로봇 목소리 내 봐
4:55,THE ROBOT VOICE YOU WERE DOING WHEN YOU IMPLIED I'M A RULE-FOLLOWING ROBOT.,"규칙이나 따르는 로봇이라며 했던
그 목소리 내 봐"
4:59,I WANNA HEAR IT AGAIN.,들어 보자고
5:07,ROBOT.,로봇
5:09,THAT'S A TERRIBLE ROBOT VOICE. YEP.,로봇 목소리 한심하네
5:11,"THE NEXT TIME I SEE YOU,",다음부터는 넥타이 매
5:13,I'D LIKE YOU TO BE WEARING A NECKTIE.,"다음부터는 넥타이 매 예전 서장님은
신경 쓰지 않았는데요"
5:15,"OH, ACTUALLY, THE LAST CAPTAIN DIDN'T CARE IF WE WORE TIES.","예전 서장님은
신경 쓰지 않았는데요"
5:18,"WELL, YOUR NEW CAPTAIN DOES.",새로 온 서장은 신경 써
5:19,"AND MORE IMPORTANTLY, HE CARES THAT YOU FOLLOW HIS DIRECT ORDERS.","직접 지시에
따르는 지도 신경 써"
5:23,"EVERYONE, I'M YOUR NEW COMMANDING OFFICER, CAPTAIN RAY HOLT.","여러분, 내가 새로 온
레이 홀트 서장이다"
5:27,SPEECH! THAT WAS MY SPEECH.,"- 연설하세요
- 끝났다"
5:29,SHORT AND SWEET.,짧고 명료하네요
5:31,"SERGEANT JEFFORDS, A WORD.","제퍼즈 반장
얘기 좀 하지"
5:32,"YES, SIR.",알겠습니다
5:35,[sighs] I LOVE THAT GUY. SAME!,"- 맘에 들어
- 나도"
5:39,HE'S SO SUAVE.,품격이 있네
5:40,DOES ANYONE GET A LITTLE BIT OF A GAY VIBE?,"약간 동성애 느낌
나지 않아?"
5:44,NO? OKAY.,"아니야?
그럼 말고"
5:46,"SERGEANT, YOU WERE IN THE 1-8 WITH ME...","“레이 홀트 서장” 반장, 18 관할 경찰서에
같이 있었는데"
5:48,THOUGH YOU WERE SIGNIFICANTLY--,"반장, 18 관할 경찰서에
같이 있었는데 그때는 지금보다 엄청..."
5:52,"FATTER, SIR. THEY CALLED ME ""TERRY TITTIES.""","뚱뚱해서
젖퉁이 테리라고 불렸죠"
5:55,"BECAUSE I HAD LARGE, UH--",그게 제 젖이...
5:58,"TITTIES, YES. I REMEMBER.","컸잖아
잘 기억해"
5:59,I NEVER LIKED THAT NICKNAME.,그 별명 싫었어
6:01,"THOUGH TO BE FAIR, IT WAS ACCURATE.","그래도 정확한
별명이긴 했어"
6:03,WHAT'S THIS I HEAR ABOUT YOU BEING ON ADMINISTRATIVE LEAVE?,"휴직한다는 소리는
무슨 얘기야?"
6:05,"A YEAR AGO, MY WIFE AND I HAD TWIN BABY GIRLS.","1년 전에
쌍둥이를 낳았습니다"
6:10,CAGNEY AND LACEY.,캐그니랑 레이시예요
6:12,THEY HAVE ADORABLE CHUBBY CHEEKS.,볼 통통한 게 귀엽네
6:14,"EVER SINCE, I KINDA GOT SCARED OF GETTING HURT.","그 이후로
다치는 게 무서워졌어요"
6:17,LOST MY EDGE.,용기 상실이죠
6:19,THERE WAS AN INCIDENT IN A DEPARTMENT STORE.,"백화점에서
사고가 있었어요"
6:21,"HEY, MAN, YOU OKAY? YOU LOOK A LITTLE JUMPY.","괜찮아요?
긴장돼 보이는데요"
6:24,I'M FINE. I'M FINE.,괜찮아
6:32,I THINK HE'S DEAD.,죽은 거 같은데요
6:34,AND I'M STILL NOT RIGHT.,"그러고는 아직도
낫지 않았어요"
6:36,TELL ME ABOUT YOUR DETECTIVE SQUAD.,"자네 형사팀
설명 좀 해 봐"
6:41,"WELL, SCULLY, HITCHCOCK, AND DANIELS. THEY'RE PRETTY MUCH WORTHLESS,","스컬리, 히치콕이랑 대니얼스는
거의 쓸모없는데"
6:45,BUT THEY MAKE GOOD COFFEE.,커피는 잘 타요
6:46,COPY THAT.,입력 완료
6:48,NOW THE GOOD ONES.,그리고 괜찮은 녀석들은요
6:50,"ROSA DIAZ. TOUGH, SMART, HARD TO READ, AND REALLY SCARY.","로사 디아스는 강하고 똑똑하고
포커페이스에 진짜 무서워요"
6:56,TELL ME WHO HAS ME FOR SECRET SANTA.,누가 내 비밀 산타인지 불어요
6:58,NO! THAT TAKES ALL THE FUN OUT OF IT.,"안 돼
그걸 말하면 무슨 재미야"
7:02,IT'S SCULLY. HE GOT YOU A SCARF. I'LL MAKE HIM RETURN IT.,"스컬리가 목도리 준비했어
반품하라고 말할게"
7:05,"YES, YOU WILL.",그래야죠
7:08,CHARLES BOYLE. HE'S A GRINDER.,"찰스 보일은
일벌레예요"
7:10,"NOT THE MOST BRILLIANT DETECTIVE, BUT HE WORKS HARDER THAN ANYONE ELSE.","제일 똑똑한 건 아닌데
누구보다도 열심히 일하죠"
7:13,HE'S NOT PHYSICALLY GIFTED.,"선천적으로 운동감각이
있지는 않아요"
7:18,"OH, MAN! MY MUFFIN.","아, 이런
내 머핀"
7:21,"OH, MY HEAD! MY MUFFIN, MY HEAD!","내 머리야
내 머핀, 내 머리!"
7:24,AND I STEPPED ON THE-- ON MY MUFFIN! AND MY HEAD AND MY MUFFIN.,"내 머핀을 밟았어
내 머리랑 내 머핀"
7:27,AMY SANTIAGO.,에이미 산티아고 남자 형제만 일곱이에요
7:30,"SHE'S GOT SEVEN BROTHERS,","남자 형제만 일곱이에요 그래서 항상
강해 보이고 싶어 하죠"
7:32,SO SHE'S ALWAYS TRYING TO PROVE SHE'S TOUGH.,"그래서 항상
강해 보이고 싶어 하죠"
7:33,CAREFUL. THAT STUFF'S PRETTY HOT.,"조심해
엄청 매울 거야"
7:35,"OH, IS IT? HMM?",진짜요?
7:48,SHE AND PERALTA HAVE SOME BIG BET OVER WHO GETS MORE ARRESTS THIS YEAR.,"페랄타랑 둘이서 올해
누가 더 잡는지 내기 중입니다"
7:52,"EVER SINCE THE BET, THEIR NUMBERS HAVE GONE WAY UP.","그 후로
실적이 엄청 올랐어요"
7:55,TELL ME ABOUT PERALTA. JACOB PERALTA IS MY BEST DETECTIVE.,"- 페랄타 얘기해 봐
- 페랄타가 제 형사 중 최고예요"
7:59,HE LIKES PUTTING AWAY BAD GUYS AND HE LOVES SOLVING PUZZLES.,"악당 잡기 좋아하고
문제 해결도 잘하죠"
8:02,THE ONLY PUZZLE HE HASN'T SOLVED IS HOW TO GROW UP.,"해결하지 못한 문제는
자아 성장입니다"
8:06,THAT WAS VERY WELL PUT.,좋은 표현이군
8:08,I'VE TALKED A LOT ABOUT JAKE IN MY DEPARTMENTALLY MANDATED THERAPY SESSIONS.,"상담 때
제이크 얘기 많이 했어요"
8:13,"LOOK, YOU KNOW MY HISTORY. YOU KNOW HOW IMPORTANT THIS IS TO ME.","나에 대해 알잖아?
이게 얼마나 중요한지 알지?"
8:17,"THIS PRECINCT IS DOING FINE, BUT I WANNA MAKE IT THE BEST ONE IN BROOKLYN.","경찰서가 잘 돌아가고 있지만
브루클린 최고로 만들 거야"
8:21,"AND I NEED YOUR HELP. ABSOLUTELY, SIR.","- 도움이 필요해
- 얼마든지요"
8:23,WHERE DO WE START?,어디부터 시작할까요?
8:26,♪ WHAT IS HAPPENING? ♪,무슨 일이 있나요?
8:28,WE START WITH HIM.,저 친구부터 시작하지
8:34,"OKAY, SO THE PERP CAME IN THROUGH THE WINDOW,","범인은
창문을 통해 들어와"
8:37,"LEFT THE MUDDY RED FOOTPRINT, AND APPARENTLY HAD SEX WITH THE DISH RACK.","붉은색 발자국을 남기고
접시 건조대랑 섹스한 거 같아"
8:40,"SHELL CASING FOUND HERE. TWO SHOTS. BANG, BANG.","탄피가 여기서 발견됐어
두 번 쐈네, 탕 탕"
8:43,"GREAT WORK, DETECTIVE.","잘했어, 형사
넥타이 받아"
8:45,YOU GET A TIE.,"잘했어, 형사
넥타이 받아 내 거잖아
책상에 있던 건데"
8:47,"HEY, THAT'S MINE. YOU TOOK IT FROM MY DESK.","내 거잖아
책상에 있던 건데"
8:48,"THAT'S RIGHT, CHARLES. GOOD SOLVE.","잘 맞혔어, 찰스
너도 넥타이 받아"
8:49,TIE FOR YOU. THANKS!,"잘 맞혔어, 찰스
너도 넥타이 받아 - 고마워
- 넥타이 매는 거 잊지 마"
8:51,NOW EVERYONE BE SURE TO PUT THOSE ON,"- 고마워
- 넥타이 매는 거 잊지 마"
8:52,BECAUSE IT'S IMPOSSIBLE TO SOLVE CRIMES UNLESS YOU'RE WEARING A TIE.,"안 그러면
범죄 해결이 불가능해"
8:55,LAY OFF THE CAPTAIN. THAT MAN IS GONNA BE MY RABBI.,"서장님 그만 놀려
내 랍비 스승이 될 거란 말이야"
8:58,"OKAY, FIRST OF ALL, WHEN YOU USE THE WORD ""RABBI,"" YOU KNOW THAT TURNS ME ON","네가 랍비라고 할 때마다
흥분이 돼서"
9:01,AND THAT'S UNFAIR IN THE WORK ENVIRONMENT.,"일할 때 힘들어 게다가 네 랍비 스승
눈엣가시거든"
9:03,"SECONDLY, YOUR RABBI IS A PAIN IN MY ASS.","게다가 네 랍비 스승
눈엣가시거든"
9:05,"YEAH, HE'S A LITTLE TOO SERIOUS.","서장님 너무 진지한 거 같아
어떻게 생각해, 로사?"
9:07,"WHAT DO YOU THINK, ROSA? HE SEEMS COOL.","서장님 너무 진지한 거 같아
어떻게 생각해, 로사? - 괜찮아 보이는데
- 그래, 나도 그렇게 생각해"
9:08,"YEAH, HE SEEMS COOL. I AGREE.","- 괜찮아 보이는데
- 그래, 나도 그렇게 생각해"
9:10,"LOOKS LIKE THE PERP STOLE A COMPUTER, A WATCH,","도둑이 훔친 게
컴퓨터와 시계"
9:13,"AND A JAMON IBERICO HAM, VALUED AT--WHAT!","하몽 이베리코 햄인데
가치가... 뭐? 6천 달러?"
9:17,"$6,000.",뭐? 6천 달러?
9:18,"$6,000 FOR A HAM?",햄이 6천 달러라고?
9:20,JAMON IBERICO IS AN AMAZING CURED HAM FROM SPAIN.,"‘하몽 이베리코’라고
아주 귀한 스페인산 햄이야"
9:24,THEY HAD IT AT MY UNCLE'S FUNERAL. I GORGED MYSELF AT THAT FUNERAL.,"우리 삼촌 장례식에 있었는데
내가 엄청 먹고"
9:28,"I MEAN, I WAS CONSTIPATED FOR THREE DAYS.","3일 동안
변비로 고생했지"
9:29,"WOW, THAT'S A GREAT STORY, CHARLES, THANK YOU.","재미있는 얘기였어
고마워"
9:32,"[laughing] ALL RIGHT, LISTEN UP, EVERYBODY.",다들 잘 들어
9:33,"BETTER CONTACT CAPTAIN HOLT, LET HIM KNOW WE GOT A TEN-TIE SITUATION.","홀트 서장님께 연락해서
넥타이 10개짜리 상황이라 해"
9:36,"SPEAKING OF TIES, WHERE'S YOURS, MEEP MORP?","그래서 말인데
자네 넥타이는 어디 갔나?"
9:39,THIS IS FANTASTIC.,대단해
9:40,CAPTAIN! HEY!,서장님
9:42,WELCOME TO THE MURDER. WHAT ARE YOU DOING HERE?,"현장에 어서 오세요
뭐하러 오셨어요?"
9:44,I LIKE TO KNOW WHAT MY DETECTIVES ARE UP TO. THAT OKAY BY YOU? YEP.,"형사들이 뭐 하는지 알고 싶었네
괜찮겠어?"
9:48,TAKE SANTIAGO AND KNOCK ON DOORS. SEE IF THE NEIGHBORS HEARD ANYTHING.,"자네와 산티아고는 이웃 방문해서
들은 게 있는지 확인해"
9:50,DOOR DUTY? IT'S A WASTE OF TIME.,"이웃 방문요?
시간 낭비예요"
9:52,DIAZ AND BOYLE. CHECK IN THE CORONER. REPORT BACK TO ME IN AN HOUR.,"디아스랑 보일은
검시 결과 1시간 이내에 보고해"
9:57,"[sighs] THAT WENT WELL. NO, IT DIDN'T.","- 매끄럽게 끝났네
- 안 그래"
9:59,HE'S GOT LIKE SUPER HEARING.,"서장님 청력이
거의 개 수준이야"
10:02,"HEY, ROSA! ROSA. ROSA!",로사
10:04,"UM, I JUST HAPPENED TO NOTICE","어떻게 알게 된 건데 이번 주에 영화 포럼에서
고전 영화 축제가 열린대"
10:08,THAT THERE'S AN OLD MOVIE FESTIVAL PLAYING AT THE FILM FORUM THIS WEEK.,"이번 주에 영화 포럼에서
고전 영화 축제가 열린대"
10:12,WANNA GO? SURE.,"- 같이 갈래?
- 좋아"
10:15,COOL! AWESOME.,"좋아, 잘됐다"
10:17,THERE'S A BUNCH OF MOVIE OPTIONS.,상영하는 영화가 많은데
10:19,I'LL PROBABLY JUST GO WITH SOMETHING CLASSIC,"‘시민 케인’ 같은
명작으로 고를까?"
10:22,LIKE CITIZEN KANE.,"‘시민 케인’ 같은
명작으로 고를까? ‘시민 케인’ 별로야
좀 좋은 거 골라봐"
10:24,CITIZEN KANE IS TERRIBLE. PICK A GOOD MOVIE.,"‘시민 케인’ 별로야
좀 좋은 거 골라봐"
10:26,GOOD CALL. SMART.,"좋은 지적이야
역시 똑똑해"
10:28,I'LL DO IT. I'LL PICK A BETTER MOVIE THAN CITIZEN KANE.,"그러지, ‘시민 케인’보다
좋은 영화 고를게"
10:33,(Holt) SO GINA...,그러니까 지나
10:35,CIVILIAN ADMINISTRATORS LIKE YOURSELF OFTEN HAVE THEIR EAR TO THE GROUND.,"자네 같은 행정 요원이
주변 상황을 잘 알잖나"
10:39,WHAT DO SANTIAGO AND PERALTA HAVE RIDING ON THIS BET OF THEIRS?,"산티아고와 페랄타가
내기로 뭘 걸었어?"
10:42,I WILL TELL YOU ON SIX CONDITIONS.,"여섯 가지 조건이 맞으면
말씀드리죠"
10:44,"NUMBER ONE, YOU LET ME USE YOUR OFFICE TO PRACTICE MY DANCE MOVES.","첫 번째로 여기 사무실에서
춤 연습하게 해 줘요"
10:48,SECOND-- HOW ABOUT THIS? IF YOU TELL ME... MM-HMM.,"- 두 번째는...
- 이건 어때?"
10:51,I WON'T HAVE YOU SUSPENDED... WITHOUT PAY.,"얘기해 주면
무급 정직은 없을 거네"
