Time,Subtitle,Human Translation
10:54,"OH, THAT SOUNDS GREAT.",좋아요
10:55,"OKAY, THE DEAL IS IF AMY GETS MORE ARRESTS, JAKE HAS TO GIVE HER HIS CAR.","에이미가 이기면
제이크는 차를 줘야 하고요"
11:00,"IT'S AN OLD MUSTANG, AND IT'S PRETTY SWEET.","구식 머스탱인데
꽤 괜찮아요"
11:02,"IF HE GETS MORE ARRESTS, SHE HAS TO GO ON A DATE WITH HIM.","페랄타가 이기면 산티아고가
페랄타랑 데이트해야 해요"
11:07,HE GUARANTEES IT WILL END IN SEX.,페랄타는 섹스까지 갈 거래요
11:10,"I BET ON AT LEAST SOME OVER-THE-CLOTHES ACTION. AT THE VERY LEAST, SOME TOUCHING...","적어도 옷 입고
애무까지는 하겠죠"
11:15,"NO, THAT'S ENOUGH, GINA. CARESSES.","그만, 지나"
11:16,I COULD SEE HIM SHOWING UP IN A SILK ROBE.,"페랄타가
실크 가운 입고 나와서..."
11:19,"THAT'S ENOUGH, GINA. ALL RIGHT. THANK YOU.","됐다니까
고마워"
11:21,(Jake) LET THE WASTING OF TIME BEGIN.,"“모건도의 건물
이웃 방문, 오후 1시 45분” 시간 낭비 시작합시다"
11:26,"HELLO, SIR. CAN WE ASK YOU A FEW QUESTIONS?","안녕하세요
몇 가지 물어봐도 괜찮을까요?"
11:29,DEFINITELY. YEAH.,그럼요
11:30,I'M ACTUALLY--I'M SUPER GLAD YOU GUYS ARE HERE RIGHT NOW.,"사실 와 주셔서
너무 다행입니다"
11:32,ARE YOU SMELLING THAT WEED SMELL? (both) YEAH.,"- 대마초 냄새나죠?
- 네"
11:35,"'CAUSE A DUDE BROKE IN, SMOKED WEED, AND BOLTED. [laughing] IT'S--","어떤 놈이 제집에 들어와서
대마초 피우고 도망갔거든요"
11:40,DO YOU THINK IT'S THE SAME DUDE THAT LEFT THAT BONG THERE ON THE FLOOR?,"똑같은 녀석이 바닥에
물 담뱃대도 두고 갔나요?"
11:44,YES.,네
11:45,POLICE!,경찰입니다
11:48,HELLO. HELLO.,"- 안녕하세요
- 안녕하세요"
11:51,WHAT'S YOUR NAME? MY NAME? MM-HMM.,"- 성함이 어떻게 되죠?
- 밀립노스요"
11:53,"MLEPNOS. CAN YOU SPELL THAT, PLEASE?",철자 좀 불러주세요
11:55,M-L-E-P... CLAY.,"M, L, E, P...
클레이"
12:01,"DID YOU SAY ""CLAY""?",‘클레이’라고 말씀하셨나요?
12:02,"YES, THE ""CLAY"" IS SILENT.",‘클레이’는 묵음이에요
12:04,"ALL RIGHT, GOT IT.","알겠습니다 이 남자 전에 본 적 있나요?
어젯밤 총에 맞았어요"
12:05,HAVE YOU SEEN THIS MAN BEFORE? HE WAS SHOT LAST NIGHT.,"이 남자 전에 본 적 있나요?
어젯밤 총에 맞았어요"
12:09,OH. THANK YOU.,감사합니다
12:11,"NO, SIR, THAT'S OURS. WE NEED THAT. WE-- AND HE KEPT IT.","- 아뇨, 가져가면 안 돼요
- 가져가 버렸네"
12:15,WALL STREET JOURNAL ON THE DOORMAT... TOP FLOOR APARTMENT.,"‘월 스트리트 저널’이 놓인
아파트 꼭대기 층이라"
12:18,"20 BUCKS SAYS THIS GUY'S LIKE A HOT, ELIGIBLE BACHELOR.","이 남자 섹시하고 괜찮은
신랑감에 20달러 걸게"
12:21,I'LL TAKE THAT ACTION.,내기하자
12:22,POLICE! OPEN UP!,"경찰입니다
문 좀 열어 주세요"
12:25,HELLO.,안녕하세요
12:27,"[laughing] OH! HELLO, SIR! HOW ARE YOU TODAY?","안녕하세요
오늘 댁 내 평안하십니까?"
12:30,"I AM DETECTIVE RIGHT-ALL-THE-TIME,",저는 매일 맞히는 형사이고
12:32,AND THIS IS MY PARTNER DETECTIVE TERRIBLE DETECTIVE.,"여기는 제 파트너
형편없는 형사입니다"
12:37,"NO SURPRISES FROM THE CORONER. A FEW GUNSHOTS, SHOULDER AND CHEST.","검시관 쪽은 별다른 건 없었고
어깨랑 가슴에 총상 2방요"
12:40,NONE OF THE NEIGHBORS HEARD OR SAW ANYTHING.,"이웃들은 누구도
보거나 들은 게 없었습니다"
12:42,"AND WHAT'S WORSE, SANTIAGO STRUCK OUT WITH A 92-YEAR-OLD.","산티아고가 92살 할아버지랑
연애에 실패해 안타까워요"
12:46,"THAT IS NOT ACCURATE, SIR. WAIT, YOU HOOKED UP WITH HIM? UGH!","- 그렇지 않습니다
- 그럼 맘에 들었어?"
12:49,"ALL RIGHT, HIT THE PAWN SHOPS AND CANVASS THE NEIGHBORHOOD. AND WHILE YOU'RE OUT, YOU CAN BUY YOURSELF A TIE.","전당포에 가 보고, 이웃 조사해
자넨 넥타이 사고"
12:52,"(Jake) OH, ACTUALLY, SIR... I'M WEARING A TIE RIGHT NOW.","사실 말이죠
지금 매고 있습니다"
12:55,CHECK IT OUT.,보세요
12:57,SECRET TIE.,"비밀 넥타이죠 일단 자네
제모가 너무 심해"
12:59,"FIRST OF ALL, I THINK YOU'RE KIND OF OVERDOING IT","일단 자네
제모가 너무 심해"
13:01,WITH THE MANSCAPING.,"일단 자네
제모가 너무 심해 그것보다
왜 명령을 어기는 거야?"
13:02,"BUT MORE IMPORTANTLY, DETECTIVE, WHY DO YOU REFUSE TO TAKE MY ORDERS SERIOUSLY?","그것보다
왜 명령을 어기는 거야?"
13:06,DOES ANYONE HERE KNOW WHY IT'S SO IMPORTANT TO ME THAT YOU ALL DRESS APPROPRIATELY?,"적절한 복장이
왜 중요한지 알고 있나?"
13:10,HMM. FOUR HIGHLY TRAINED DETECTIVES AND NOT ONE OF YOU CAN SOLVE THIS SIMPLE MYSTERY.,"잘 나가는 형사 넷이서
대답도 하나 못 하네"
13:15,I WANNA BE BRIEFED ON ANY NEW DEVELOPMENTS. ANY QUESTIONS?,"진행 상황 있으면 보고 해
질문 있나?"
13:19,"I WAS GONNA ASK YOU IF YOU THOUGHT I WAS DOING TOO MUCH MANSCAPING, BUT WE SOLVED THAT ONE.","제모가 너무 심하다는 것 말고는
질문 없습니다"
13:23,"HEY, BOYLE. YEP. WHAT ABOUT THIS FANCY HAM STUFF?","보일, 이 고급 햄 말이야"
13:26,JAMON IBERICO. YES.,하몽 이베리코?
13:28,THE PERP LEFT A REALLY EXPENSIVE TV BUT THEN STOLE HAM? IT DOESN'T MAKE SENSE.,"비싼 텔레비전은 두고
햄만 훔친 게 말이 안 돼"
13:32,IS THERE A PLACE NEARBY THE CRIME SCENE THAT SELLS IT?,"현장 가까이
파는 데 있을까?"
13:34,BENEFICIO'S MIGHT. LET'S GO.,"- 베네피시오 아닐까?
- 가보자"
13:36,YOU GOTTA BRIEF THE C.O. FIRST.,"- 서장한테 보고부터 해야지
- 범인 잡고 하지, 뭐"
13:38,WE'LL BRIEF HIM AFTER WE CATCH THE GUY.,"- 서장한테 보고부터 해야지
- 범인 잡고 하지, 뭐 “베네피시오 고급 식료품점
오후 1시 45분”"
13:43,MY NAME IS RATKO. I DON'T KNOW ANYTHING.,"라트코라고 합니다
아무것도 몰라요"
13:45,"OH, OKAY. YOU RECOGNIZE THIS GUY?",이 사람 알아보겠어요?
13:48,HENRY MORGENTHAU? NO.,"- 헨리 모건도
- 아뇨"
13:51,MAYBE ACTUALLY LOOK AT THE PICTURE.,일단 사진이나 보시죠
13:54,I DON'T KNOW HIM. I DON'T KNOW WHAT HAPPENED.,"그 사람 몰라요
무슨 일이 있었는지 몰라요"
13:56,NO MORE QUESTIONS.,질문 그만 하세요
13:57,"WELL, WHY DON'T I RUN A SCENARIO PAST YOU, RATKO, AND YOU TELL ME WHAT YOU THINK?","제 추리 들려줄 테니
어떤지 얘기해 줄래요?"
14:00,YOU DO KNOW MORGENTHAU. HE CAME IN HERE AND TRIED TO SELL YOU SOME HAMS.,"모건도를 알고 있고
당신한테 햄을 팔려고 했죠"
14:03,"YOU KNEW THEY WERE WORTH A LOTTA MONEY, SO YOU TRIED TO STEAL THEM FROM HIM","그 햄 값이 엄청나서
빈집일 때 훔치러 들어갔는데"
14:05,WHEN HE WASN'T HOME.,"그 햄 값이 엄청나서
빈집일 때 훔치러 들어갔는데 모건도가 있길래 쏜 거죠
말이 되죠?"
14:06,"ONLY HE WAS HOME, SO YOU SHOT HIM. DOES THAT SOUND FAMILIAR?","모건도가 있길래 쏜 거죠
말이 되죠?"
14:10,"UH, MAYBE SOME ROLE PLAY WILL JOG YOUR MEMORY?","기억나시게
상황극 보여드릴까?"
14:11,"GREAT IDEA. OKAY, YEAH. OKAY.","- 좋은 생각이야
- 그래"
14:14,"SO I'M--I'M RATKO. NO, NO, I'M RATKO.","- 내가 라트코 할게
- 아니, 내가 할래"
14:16,COME ON. I'M ALWAYS THE VICTIM.,왜 나만 항상 피해자냐?
14:18,"LOOK, I'M DOING THIS WITH YOU RIGHT HERE. FINE, FINE. [clears throat]","- 여기서 왜 이래?
- 알았어"
14:20,"OH! I'M HENRY MORGENTHAU, OWNER OF DELICIOUS AND EXPENSIVE HAMS.","내가 헨리 모건도다
맛나고 비싼 햄 주인이지"
14:25,DON'T I KNOW YOU FROM THE GROCERY STORE?,식료품점에서 봤던가?
14:26,KILL! AND SCENE.,죽이고 상황극 끝
14:30,(Jake) NYPD! EVERYONE DOWN!,"경찰입니다
모두 엎드려요"
14:33,"MA'AM, IF YOU COULD JUST GET DOWN, OR...IGNORE ME AND CONTINUE SHOPPING.","부인, 엎드려 주시든지
그냥 무시하고 장 보세요"
14:36,"BOYLE, GET THE DOOR! ON IT!","- 보일, 문 쪽 맡아!
- 알았어"
14:39,RATKO!,라트코
14:43,[grunts] OH!,도와줘
14:56,"(Jake) OW, RATKO, OW! WHOA, WHOA, WHOA, WHOA, RATKO!",라트코
14:59,I'M GETTING MAD! THAT'S A WASTE OF MANCHEGO!,"- 나 화나면 무서워
- 만체고 치즈 낭비야"
15:01,CHARLES!,찰스
15:06,HOW ARE YOU STILL HERE? JAKE! LITTLE HELP!,"- 아직도 장 봐요?
- 제이크, 도와줘"
15:10,"RATKO! HE'S NOT GOING ANYWHERE, JAKE!",내가 잡고 있어
15:12,[bottle clanging] RATKO!,라트코
15:13,I GOT HIM! I GOT HIM! DON'T WORRY!,잡았다고
15:18,"(Jake) SO NO, I DID NOT BRIEF YOU. AND YES, HE DID GET AWAY.","보고 하지 않고 가서 그래요
놓쳤습니다"
15:22,BUT SOME BONUS GOOD NEWS...,하지만 좋은 소식도 있어요
15:25,I GOT YOU HAZELNUT.,"헤이즐넛 아이스크림을
가져왔죠"
15:28,[whispering] AND... A LITTLE SPOON THERE FOR YOU.,작은 수저도요
15:37,[scoffs] IS HE SERIOUSLY ASSIGNING ME TO THE RECORDS ROOM?,"기록실로 보내면
어떻게 해요?"
15:39,"I MEAN, WHY DO WE EVEN HAVE A RECORDS ROOM? COMPUTER'S BEEN INVENTED, RIGHT? I DIDN'T DREAM IT?","컴퓨터가 발명된 게 언젠데
왜 아직 기록실이 있는 거죠?"
15:43,"YOU'RE LUCKY, MAN. I WISH I COULD GET ASSIGNED HERE FULL-TIME.","운 좋은 줄 알아
여기 상근직 하면 좋겠네"
15:47,YOU COULD NOT BE FARTHER FROM THE ACTION.,"현장 갈 일 절대 없잖아 반장님
체포실적이 제일 좋은"
15:50,"SERGEANT, YOU KNOW ME. I HAVE MORE ARRESTS THAN ANYONE.","반장님
체포실적이 제일 좋은"
15:52,WILL YOU PLEASE TELL THE CAPTAIN HOW DUMB IT IS TO LOCK HIS BEST DETECTIVE IN A FILE CABINET?,"1등 형사를 여기 가두는 건
바보짓이라고 말씀해 주세요"
15:56,SECOND BEST. YOU'RE WRONG ABOUT HOLT.,"- 2등이지
- 서장님 잘못 봤어"
15:58,THAT MAN HAS FORGOTTEN MORE ABOUT BEING A COP THAN YOU WILL EVER KNOW.,"어떤 경찰이었는지
알기나 해?"
16:02,"IN 1981, HE CAUGHT THE DISCO STRANGLER.","1981년에
디스코 교살범을 잡았어"
16:07,"IT'S OVER, DISCO MAN!","이제 끝났어, 디스코 맨"
16:09,PUT DOWN THE YO-YO AND BACK AWAY FROM THE GIRL.,"요요 내려놓고
여자한테서 떨어져!"
16:14,WOW. THE MAN IS THE REAL DEAL.,"- 이야
- 서장님 진짜 제대로니까"
16:16,YOU NEED TO LISTEN TO HIM.,말씀 좀 들어
16:19,"GONNA BE HARD TO WIN OUR BET WHEN YOU'RE ON THE BENCH, PERALTA.","여기 앉아 있으면
내기는 힘들겠네"
16:22,ALTHOUGH I DID START A NEW CATEGORY.,"어떻든
새 내기도 시작했지"
16:25,"""MURDERERS WE LET GO."" AND LOOK AT THAT. YOU'RE WINNING.","‘놓친 살인범 수’인데
네가 이기고 있는 것 좀 봐"
16:31,"HAVE FUN WITH YOUR FILES. YEAH, YOU KNOW WHAT, I WILL HAVE FUN WITH MY FILES. HAVE FUN WITH YOUR FACE!","- 서류랑 잘 놀고 있어
- 그럴 테니 표정관리나 하시지"
16:38,SLAM! THAT WAS A SLAM.,꽝! 꽝 닫히는 소리였어
16:45,SO WHAT MOVIE DID YOU GET US TICKETS TO?,영화표 뭐 샀어?
16:46,"OH, WELL, JUST TO BE SAFE, I BOUGHT TICKETS TO ALL OF THEM.",안전하게 전부 샀어
16:50,JUST TO BE SAFE? WHAT DOES THAT MEAN?,"안전하게?
그게 뭔 소리야?"
16:52,"I DON'T KNOW, I DIDN'T WANNA MESS UP.","모르겠어 망치기 싫어서 그래
너 좀 독선적이잖아"
16:55,BECAUSE YOU'RE SORT OF... OPINIONATED.,"망치기 싫어서 그래
너 좀 독선적이잖아"
16:58,"YOU THINK I'M OPINIONATED? OKAY, HERE'S AN OPINION FOR YOU.","독선적이라 생각해?
그럼 의견을 말해줄게"
17:00,YOU'RE A BAD JUDGE OF CHARACTER AND YOUR SHIRT LOOKS LIKE VOMIT.,"사람 잘못 봤고
네 옷 구토 나올 거 같아"
17:04,SO WE CAN GO SEE NORTH BY NORTHWEST.,"‘북북서로
진로를 돌려라’ 보자"
17:06,WE'RE NOT SEEING A MOVIE TOGETHER.,같이 안 봐
17:07,GOOD CALL. SMART.,"좋은 생각이야
똑똑해"
17:09,KEEP IT PROFESH.,역시 프로야
17:21,"HEY, CAPTAIN. SO YOU FOUND SOMETHING?","- 서장님
- 찾은 거 있어?"
17:23,"HEY, I LIKE THE TIE.",넥타이 좋아 보이네
17:24,"IF YOU CAN'T BEAT 'EM, JOIN 'EM. ANYWAY, I THINK I GOT SOMETHING GOOD HERE.","피할 수 없으면 즐긴다죠?
뭔가 찾은 것 같아요"
17:28,"TURNS OUT THE NAME ""RATKO"" IS MADE UP.","라트코라는 이름은
가짜였어요"
17:30,BUT I WAS DIGGING THROUGH THESE FILES--,서류들 뒤졌는데
17:32,ONE OF WHICH I LITERALLY FOUND IN A SPIDER WEB--,"거미줄 걷어내고 찾은
서류를 보니까"
17:34,"AND IT TURNS OUT THERE WERE A BUNCH OF REFERENCES TO A SERBIAN THUG,","세르비아 악당들
별명이더라고요"
17:37,"STREET NAMES ""THE RAT"" AND ""THE BUTCHER,""","갱단 이름이 ‘쥐’
‘도살자’ 같은 거고"
17:39,"WHO'S KNOWN TO HANG OUT AT A STORAGE UNIT NEAR BOERUM PARK, WHICH HAS RED SOIL,","보럼 공원 근처 창고에서 모여요
근처에 빨간색 흙도 있고요"
17:44,"HENCE, THE MUDDY RED FOOTPRINT ON MORGENTHAU'S COUNTER.","모건도 집에서 본 발자국도
빨간색이죠"
17:48,"THAT'S FINE WORK, DETECTIVE. THANK YOU VERY MUCH, SIR.","- 잘했어
- 감사합니다"
17:53,TESTAMENT TO WHAT CAN BE ACHIEVED WHEN YOU DRESS APPROPRIATELY.,"옛말에 이룰 수 있는 건
적절한 복장에서 시작되리라"
17:57,LET'S POUND IT OUT.,한 방 쳐 주세요
18:02,"YOU KNOW WHAT, SUCH FINE POLICE WORK,",이런 대단한 성과는
18:05,LET'S SHARE IT WITH THE WHOLE TEAM.,팀 전체가 다 알아야지
18:07,SANTIAGO! BOYLE! DIAZ! GET IN HERE!,"산티아고, 보일, 디아스
이리로 와"
18:10,BRING EVERYONE! AND A CAMERA!,"다들 부르고
카메라 가져와"
18:12,"THAT'S NOT NECESSARY. OH, THEY'RE HERE!",그러지 않으셔도 됩니다
18:13,LET'S HAVE A HAND FOR THE WORK,"수사왕 제이크 페랄타 형사야
모두 박수"
18:16,"OF THE FINE MASTER DETECTIVE, JAKE PERALTA.","수사왕 제이크 페랄타 형사야
모두 박수 모두 손뼉 쳐 주자고
손뼉 쳐 줘"
18:18,"YEAH, LET'S HAVE A HAND, EVERYONE.","모두 손뼉 쳐 주자고
손뼉 쳐 줘"
18:19,"GIVE HIM A HAND. YEAH, NICE!",멋진데
18:22,[wolf whistle] LOOKING GOOD! YEAH. THANK YOU.,"- 보기 좋아
- 고마워"
18:25,(Amy) NO RECORD OF RATKO ON THE LEDGER.,"“브루클린 창고
오후 10시 14분” 라트코 기록은 없는 게
현금을 썼나 봐요"
18:27,MUST'VE USED CASH.,"라트코 기록은 없는 게
현금을 썼나 봐요"
18:28,"WELL, I, FOR ONE, AM JUST PUMPED TO BE ON A STAKEOUT WITH YOU, CAPTAIN.","서장님과 잠복근무하니
기분이 날아가요"
18:32,YOU KNOW WHAT MY FAVORITE THING ABOUT STAKEOUTS IS?,"잠복근무 좋은 게
뭔지 알아요?"
18:34,"PATROL GUIDE SAYS ""NO DRESS CODE.""","순찰 안내서에
‘복장 규정 없음’이라 써 있어요"
18:37,SO I'M JUST THE ZIP-UP HOODIE AND MY TWO BEST FRIENDS.,"달랑 후드 티 입고
두 절친이 같이 하네요"
18:40,DOES HE ALWAYS TALK THIS MUCH?,항상 이렇게 말이 많아?
18:42,I JUST TUNE IT OUT. IT'S LIKE A WHITE NOISE MACHINE.,"백색 소음기라 생각하고
그냥 무시해요"
18:45,"OKAY, FIRST OF ALL, THAT'S RACIST.",그거 인종차별 발언이야
18:47,"SECONDLY, CAPTAIN,",그리고 서장님
18:49,TERRY TOLD ME YOU CAUGHT THE DISCO STRANGLER.,"테리 반장님이 그러는데
디스코 교살범 잡았다면서요?"
18:51,THAT'S INCREDIBLE. I'VE READ THAT CASE.,"대단해요
그 사건 읽어본 적 있어요"
18:54,"WITH ALL DUE RESPECT, SIR, WHY'D IT TAKE YOU SO LONG TO GET YOUR FIRST COMMAND?","그런데 왜 지금까지
지휘권을 못 받았죠?"
18:59,BECAUSE I'M GAY. [chuckles] AH.,동성애자라서 그래
19:03,SERIOUSLY?,진짜요?
19:05,I'M SURPRISED YOU DIDN'T KNOW.,모르고 있었나?
19:06,I DON'T TRY TO HIDE IT.,숨긴 적 없어
19:14,DID ANYONE ELSE GET A LITTLE BIT OF A GAY VIBE?,"“공개적 동성애 서장 임명” 약간 동성애 느낌
나지 않아?"
19:18,[slowed down] MANSCAPING.,제모
19:22,DAMN!,이런
19:24,I AM NOT A GOOD DETECTIVE.,난 좋은 형사가 아니었어
19:27,(Rosa) HERE. I FEEL BAD THAT YOU SPENT ALL THAT MONEY ON THE MOVIE TICKETS.,"영화표 산 돈
받아서 좀 보태"
19:30,WHY DON'T YOU JUST GO TO THE MOVIES WITH ME? NOPE.,"- 그냥 나랑 극장 가자
- 싫어"
19:34,OKAY.,알았어
19:37,"WELL, THIS IS AWKWARD.",이거 어색하네
19:39,IT'S NOT AWKWARD.,어색하지 않아
19:41,I LIKE YOUR COMPANY. YOU'RE SWEET.,"같이 있는 거 좋아
따뜻한 사람이잖아"
19:47,WHEN DID YOU COME OUT?,언제 커밍아웃하셨어요?
19:48,ABOUT 25 YEARS AGO.,25년 전에
19:50,THE NYPD WAS NOT READY FOR AN OPENLY GAY DETECTIVE.,"공개적 동성애 형사가
설 자리는 경찰에 없었어"
19:54,BUT THEN THE OLD GUARD DIED OUT.,그런데 세대교체가 되더니
19:56,"SUDDENLY, THEY COULDN'T WAIT TO SHOW OFF THE FACT","그런데 세대교체가 되더니 고위 동성애 경찰이 있는 걸
갑자기 보여주고 싶어 했어"
19:58,THAT THEY HAD A HIGHLY RANKING GAY OFFICER.,"고위 동성애 경찰이 있는 걸
갑자기 보여주고 싶어 했어"
20:00,I MADE CAPTAIN. BUT THEY PUT ME IN A PUBLIC AFFAIRS UNIT.,"서장으로 진급이 되었는데
홍보팀으로 발령을 내더군"
20:05,I WAS A GOOD SOLDIER. I HELPED RECRUITMENT.,"열심히 일해서
경찰 채용을 도왔어"
20:07,BUT ALL I EVER REALLY WANTED WAS MY OWN COMMAND.,"하지만 정말 원한 건
지휘권이었거든"
20:11,AND NOW I FINALLY GOT IT.,결국 기회를 잡았지
20:14,AND I'M NOT GONNA SCREW IT UP.,망치고 싶지 않아
20:17,"CAPTAIN, I'M SORRY. I-- I FEEL LIKE A JACKASS.","죄송합니다, 서장님
제가 멍청이 같았네요"
20:25,"BUT ON THE FLIP SIDE, THERE'S RATKO.","어떻든 저기
라트코가 있으니"
20:28,HUMILITY OVER. I'M AMAZING!,"수치심은 인제 그만
난 대단한 놈이야"
20:35,"FANTASTIC. 3,000 IDENTICAL BLUE DOORS.","환상적이네
파란색 문이 3천 개예요"
20:38,LOOKS LIKE WE ALL GOT DOOR DUTY.,"우리 다
이웃 방문해야겠는데"
20:40,"AH, YEAH. FROM BEFORE.","우리 다
이웃 방문해야겠는데 전에 제가 한 말을
쓰시네요"
20:42,GOOD ONE. YOU LOOK GREAT.,농담 좋았어요 멋져
20:48,CLEAR.,이상 없음
20:54,CLEAR.,이상 없음
21:06,[sighs] OKAY.,알았어요
21:08,UNBELIEVABLE! UN-BELIEVABLE!,기가 차네요
21:23,"RATKO, GREAT TO SEE YOU.","라트코
만나서 반가워"
21:25,YOU CAN'T STOP ME.,날 잡을 수 없어
21:27,I'M GOING.,난 떠날 거야
21:28,"ACTUALLY, YOU'RE NOT GOING ANYWHERE.",사실 아무 데도 못 가
21:32,"'CAUSE IF YOU TAKE A LOOK TO YOUR LEFT, YOU'LL SEE DETECTIVE'S BOYLE AND DIAZ.","왼쪽에는
보일이랑 디아스 형사가 있고"
21:36,RIGHT THERE IS DETECTIVE SANTIAGO.,오른쪽엔 산티아고 형사가 있네
21:39,AND BEHIND YOU IS CAPTAIN HOLT.,뒤에는 홀트 서장님도 있지
21:41,POINT IS... MY TEAM HAS YOU SURROUNDED.,"내 말은
우리 팀이 포위했다는 거야"
21:44,"OH, MY GOD, I JUST GOT THE TIE THING!",넥타이의 의미 알아냈어
21:46,"CAPTAIN, I JUST FIGURED IT OUT.","서장님, 알아냈어요"
21:48,"MAYBE NOW'S NOT THE BEST TIME, DETECTIVE.",일단 체포부터 해
21:50,IT'S A UNIFORM!,제복인 겁니다
21:52,"WE'RE A TEAM, AND THE TIE IS A PART OF THAT TEAM'S UNIFORM, RIGHT?","우린 한 팀이고
넥타이는 그중 일부분인 거죠?"
21:56,"YOU ASK RATKO WHAT TEAM? NO, RATKO, SHUT UP.","- 라트코한테 무슨 팀이라고?
- 라트코, 닥쳐"
21:58,IT'S IMPORTANT TO YOU BECAUSE YOU WERE KEPT OFF THE TEAM FOR SO LONG.,"서장님이 오랫동안
팀에서 빠져서 중요한 거였어요"
22:01,"AND NOW YOU'RE THE COACH, AND YOU WANT US TO ALL WEAR THAT SAME UNIFORM.","이제는 대장 위치에서
복장으로 같이 하고 싶은 거죠"
22:05,BOOM! NAILED IT!,"- 짜잔, 추리 완료!
- 그래"
22:06,"YES, YOU DID. NOW JUST ARREST RATKO.","- 짜잔, 추리 완료!
- 그래 이제 라트코 제압해"
22:09,"ALL RIGHT, RATKO, DOWN. DROP THE WEAPON.","라트코
엎드리고 무기 버려"
22:11,HANDS ON YOUR HEAD. HERE WE GO.,"손 머리로 올려
그래"
22:14,HEY! HE'S RUNNING!,도망간다
22:18,HANDS BEHIND YOUR BACK! HANDS BEHIND YOUR BACK!,손 뒤로 해
22:19,(Boyle) STAY DOWN.,가만히 있어
22:21,"THAT'S HOW WE DO IT IN THE NINE-NINE, SIR.","99 경찰서는 이렇게 일합니다
서장님"
22:23,CATCH BAD GUYS AND LOOK GOOD DOING IT.,"나쁜 놈들을
멋지게 잡는 거죠"
22:27,WHAT'S WRONG WITH YOU?,왜 그러는 거야?
22:28,NEVER TOOK OFF THE SPEEDO. BIG MISTAKE.,"난 삼각팬티를
아직 안 벗었는데"
22:30,"IT IS INSIDE ME. GREAT WORK, TEAM!","안으로 말려 들어갔어요
잘했어요, 우리 팀"
22:42,NOT A DOCTOR. SHH!,의사가 아냐
